lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,alpha.21,alpha.22,alpha.23,alpha.24,alpha.25,alpha.26,alpha.27,alpha.28,alpha.29,alpha.30,alpha.31,kappa
# Adaptation terminated
# Step size = 0.389941
# Diagonal elements of inverse mass matrix:
# 0.0136714, 0.0138405, 0.0142458, 0.0120083, 0.0442404, 0.0396619, 0.0367165, 0.0458599, 0.0397475, 0.0388358, 0.0566981, 0.0244125, 0.0342435, 0.0332419, 0.0583725, 0.0338551, 0.0538114, 0.0472021, 0.0317692, 0.0434542, 0.0600762, 0.0498804, 0.013865, 0.0195583, 0.0470349, 0.0315084, 0.0356537, 0.0433257, 0.0676773, 0.0300149, 0.0326694, 0.0669048, 0.0455779, 0.0444288, 0.047319, 0.0251392
1481.65,0.702169,0.389941,3,15,0,-1464.74,1.87432,1.9642,1.74523,2.49994,-0.203339,0.032739,-0.254908,-0.250807,0.252952,-0.0242602,-0.494268,0.502271,0.200803,0.178428,-0.273626,-0.0482698,-0.38424,-0.391265,0.304131,-0.252097,-0.395107,-0.362511,1.60402,0.942118,-0.222003,-0.122739,-0.0808897,-0.138956,-1.42149,0.462698,0.116461,-0.740346,-0.527096,-0.0435592,-0.134251,0.515657
1481.03,0.890228,0.389941,3,7,0,-1466,1.90581,1.73709,2.03925,2.60239,-0.508176,-0.0625744,-0.150131,0.00176891,-0.0457971,0.0475107,-0.592622,0.314336,-0.141064,0.224313,-0.659466,0.163521,-0.417743,-0.468924,0.168312,-0.391154,-0.458622,-0.341621,1.53901,0.85858,-0.521763,0.0440401,-0.0102428,-0.137026,-1.29976,0.515707,0.283386,-0.314411,-0.322418,-0.272765,-0.647898,0.479663
1476.64,0.753758,0.389941,3,7,0,-1464.55,1.93213,1.92063,1.69265,2.60225,-0.249878,-0.0609753,0.0627847,-0.349141,0.206928,0.00207314,-0.483557,0.571203,0.280303,-0.00389372,-0.925836,-0.383621,-0.542957,-0.357359,0.496145,-0.312752,-0.725263,-0.578953,1.49086,0.916098,-0.207876,0.129745,0.00999202,-0.209184,-0.790998,0.293904,0.0772152,-1.40248,-0.378741,-0.224934,-0.112695,0.659435
1478.09,0.97816,0.389941,3,15,0,-1463.7,1.95972,1.77788,1.84278,2.47064,-0.371643,-0.0319301,0.177861,-0.335927,0.126622,-0.0274368,-0.285024,0.618481,0.125433,0.103384,-0.757681,-0.231207,-0.696698,-0.564416,0.678808,-0.398152,-0.56086,-0.780567,1.52277,0.913728,-0.225273,0.0315548,0.092536,-0.319166,-0.774935,0.401864,0.135277,-1.19963,-0.25048,-0.17548,0.0758313,0.597713
1477.55,0.900798,0.389941,3,15,0,-1456.81,1.66293,1.70745,1.83894,2.43538,-0.137334,0.378263,0.230973,-0.0797012,0.0334811,0.34537,-0.795901,0.542166,0.275549,0.141962,-0.714202,0.065754,0.17986,0.00630392,0.467895,-0.333679,-0.458776,-0.580199,1.61029,1.09164,-0.618273,0.251166,-0.045935,-0.0410095,-1.04011,0.632586,0.246337,-0.312224,-0.268846,-0.068675,-0.447544,0.550342
1482.32,0.961738,0.389941,3,7,0,-1462.51,1.87933,1.77216,1.73689,2.48718,-0.226832,-0.0354561,0.128117,0.05515,0.183322,-0.00435594,-0.258907,0.629224,-0.0690304,0.483972,-0.574762,-0.28335,-0.826699,-0.245996,0.363346,-0.22274,-0.846907,-0.273948,1.64277,0.812523,-0.175302,0.182708,0.173084,-0.116239,-0.798333,0.553533,0.425316,-0.830573,-0.0387614,-0.0421062,-0.102736,0.508032
1484.92,0.988402,0.389941,3,7,0,-1471.63,1.6812,1.72697,1.86294,2.40936,-0.0671839,0.153117,0.0420844,-0.121341,0.0740498,0.088143,-0.175022,0.624897,-0.101813,0.195094,-0.725905,0.155536,-0.232977,-0.247343,0.559315,-0.012674,-0.609737,-0.368764,1.51908,1.15797,-0.498884,0.365072,0.202761,-0.0776552,-1.1801,0.651117,0.268718,-0.858617,-0.296964,-0.165199,-0.101398,0.528145
1485.07,0.833026,0.389941,3,7,0,-1469.06,1.71273,1.72743,1.72211,2.36081,-0.318217,0.0519108,0.207181,-0.0186033,0.350435,0.210477,-0.643753,0.562079,0.299998,0.214929,-0.716473,-0.233086,-0.392846,-0.156302,0.379164,-0.213839,-0.418286,-0.373275,1.75418,0.889435,0.0417365,0.155183,0.129393,-0.041796,-0.943771,0.352148,0.469965,-0.347897,-0.0188405,0.0604594,-0.214274,0.560218
1482.33,0.818004,0.389941,3,7,0,-1469.54,1.69905,1.65076,1.6635,2.308,0.0508117,0.274732,0.0206744,0.0115719,0.0545281,0.232545,-0.232677,0.711739,0.0966317,0.506933,-0.429181,0.452477,-0.217148,-0.341515,0.62401,-0.0426494,-0.470926,-0.363027,1.60694,1.25714,-0.308039,0.491031,0.135903,0.10129,-1.04395,0.828705,0.390772,-0.811182,-0.192449,-0.280441,0.00324073,0.555604
1486.86,0.817395,0.389941,4,15,0,-1469.86,1.92207,1.87666,1.90747,2.55758,-0.449193,-0.0642228,-0.0548918,0.106212,0.136963,0.0674519,-0.59445,0.63565,0.242043,0.10595,-0.719633,-0.281885,-0.434365,-0.172428,0.393293,-0.356882,-0.811048,-0.25272,1.55277,0.882199,-0.235823,0.107317,0.06704,-0.164427,-0.848503,0.373629,0.255617,-0.311952,-0.288853,-0.214962,-0.150013,0.478812
1482.55,0.627283,0.389941,3,7,0,-1468.34,1.8618,1.66729,1.81601,2.56096,-0.0801781,0.169063,0.083946,-0.361286,0.151955,0.133479,-0.305195,0.417279,-0.0149191,0.344291,-0.542228,0.254049,-0.245712,-0.486669,0.427898,-0.038545,-0.18822,-0.357264,1.59551,1.01447,-0.32241,0.285493,0.0630503,-0.0351606,-1.04639,0.559749,0.337688,-1.03535,-0.197365,-0.0408237,-0.266839,0.601381
1481.27,0.948508,0.389941,3,7,0,-1466.57,1.79129,1.65596,1.77968,2.46759,-0.167161,0.0932597,-0.0216645,-0.0483629,0.296411,-0.0343112,-0.181793,0.545276,-0.279629,0.174174,-0.511002,0.0426914,-0.18901,-0.460803,0.413737,-0.109564,-0.441794,-0.498759,1.52743,1.07838,-0.456538,0.235818,-0.00834744,-0.219527,-1.20379,0.783747,0.285329,-0.993635,-0.0893766,0.0913409,-0.0607132,0.514223
1479.2,0.937596,0.389941,3,7,0,-1465.81,1.78077,1.80939,1.80073,2.38394,-0.385476,0.0992828,-0.0898912,-0.35641,0.303177,0.288959,-0.688517,0.796235,0.551095,0.434379,-0.747891,0.192224,-0.308473,-0.397578,0.138972,-0.354261,-0.660581,-0.291671,1.68415,0.894801,-0.300288,0.320377,0.190365,-0.122147,-1.0803,0.482554,0.509053,-0.659915,0.000208121,-0.396047,-0.0147644,0.564284
1481.27,0.976377,0.389941,3,15,0,-1464.07,1.76003,1.74679,1.9507,2.43646,-0.149893,-0.000799998,-0.0422569,-0.241394,0.294181,0.154877,-0.873353,0.75146,0.300903,0.447884,-0.875011,0.261648,-0.374287,-0.2428,0.0232734,-0.235501,-0.721202,-0.291525,1.57315,0.959842,-0.432073,0.17879,-0.0890336,-0.094803,-1.01995,0.396466,0.392375,-0.567987,-0.308807,-0.0399962,-0.180644,0.576305
1479.29,0.831733,0.389941,3,7,0,-1463.42,1.78633,1.74221,1.81863,2.50753,-0.669411,-0.189594,0.05061,-0.0541865,0.236448,0.178089,-0.459316,0.355339,0.351333,0.467277,-0.52975,0.169343,-0.972879,-0.202947,0.469177,-0.207487,-0.594453,-0.180549,1.62092,1.00252,-0.19654,0.212109,-0.0832554,-0.247322,-1.09062,0.360883,0.199675,-0.795522,-0.629375,-0.00891979,-0.0491729,0.588944
1482.9,0.918276,0.389941,3,15,0,-1463.79,1.74252,1.78528,1.79863,2.40569,-0.399379,0.318548,0.414602,-0.23193,0.181285,0.0170775,-0.519577,0.572208,0.0355985,0.276293,-0.370442,0.0513129,-0.152137,-0.235121,0.292531,-0.231557,-0.343133,-0.0748351,1.66998,0.92921,-0.38593,0.336843,-0.0151958,-0.164309,-0.55863,0.689071,0.269976,-0.86524,-0.301701,-0.229801,0.034896,0.441267
1479.44,0.758804,0.389941,3,7,0,-1463.56,1.71528,1.65662,1.76809,2.43551,-0.0255839,-0.0604802,-0.196958,0.0415791,0.0307223,0.230253,-0.387344,0.403359,-0.00550508,0.363277,-0.642056,-0.0804848,-0.214574,-0.102328,0.54119,-0.069034,-0.510802,-0.546597,1.57513,1.05881,-0.00407827,0.381613,0.411545,0.0678523,-1.23301,0.194514,0.366803,-0.542706,0.106376,0.0714564,-0.279832,0.512949
1481.15,0.99767,0.389941,3,15,0,-1464.87,1.61761,1.60212,1.6208,2.32441,-0.320771,0.373446,0.440708,-0.116491,0.503403,0.20414,-0.381316,0.933955,0.480229,0.323165,-0.491971,0.193638,-0.301689,-0.339985,0.523945,-0.145702,-0.35871,-0.000693916,1.78213,1.04056,-0.374518,0.233829,-0.0814845,-0.0734645,-0.659775,0.817366,0.416131,-0.630524,-0.422686,-0.157142,0.0369799,0.585438
1479.99,0.818433,0.389941,3,7,0,-1466.96,1.73962,1.59201,1.6094,2.36525,-0.0227869,-0.00052862,-0.127771,0.200882,-0.0288417,0.242071,-0.426817,0.413595,0.0174813,0.313227,-0.573276,0.118838,-0.14425,0.0730558,0.572825,-0.0973173,-0.442517,-0.376654,1.61554,1.17327,-0.0420322,0.390958,0.478244,0.0395395,-0.797349,0.425988,0.415292,-0.530745,0.0667194,0.159346,-0.126536,0.481334
1482.28,0.985239,0.389941,3,7,0,-1467.66,1.64106,1.739,1.85139,2.3234,-0.142278,0.239294,0.291249,-0.0902242,0.327062,0.0680173,-0.246981,0.669327,0.366387,0.212906,-0.338362,0.218845,0.03171,-0.555709,0.607614,-0.383546,-0.53248,-0.223846,1.68682,1.04629,-0.177785,0.279071,0.0254613,-0.272645,-0.920396,0.707251,0.435269,-0.700645,-0.310011,-0.150746,-0.160231,0.457529
1482.62,0.99032,0.389941,3,7,0,-1469.47,1.79852,1.67683,1.62443,2.452,-0.271373,-0.0775235,0.193088,0.144328,0.165684,0.292313,-0.390105,0.625823,0.354686,0.274421,-0.784656,-0.00238689,-0.136853,-0.145333,0.370091,-0.403054,-0.43532,-0.444011,1.66137,1.07174,-0.279745,0.302406,0.149665,0.249178,-1.00917,0.609389,0.274805,-0.76786,0.0112192,-0.28872,-0.548029,0.586495
1475.04,0.833843,0.389941,3,7,0,-1463.62,1.72358,1.74048,1.82614,2.39213,-0.310546,0.0706501,0.292959,0.282819,-0.0685935,-0.0500211,-0.79565,0.843575,0.124419,0.0196939,-0.797537,0.000480345,-0.524596,0.103879,0.35247,-0.268109,-0.550176,-0.138515,1.73914,1.09902,-0.26107,0.505998,0.204376,-0.0191842,-1.14632,0.168821,0.395726,-0.615471,-0.185048,-0.167954,-0.374967,0.667944
1476.51,0.980928,0.389941,3,7,0,-1457.07,1.7584,1.67492,1.67605,2.4252,-0.0389683,-0.0230526,0.136621,-0.313428,0.218529,0.378784,0.0697804,0.47409,0.102692,0.483088,-0.631116,0.116253,-0.49741,-0.52167,0.618064,-0.0765018,-0.634795,-0.21497,1.59383,1.00723,0.0775889,-0.0122698,0.148214,0.0723586,-0.668017,0.647997,0.411096,-0.860677,-0.273844,-0.500029,0.156392,0.522943
1473.2,0.842547,0.389941,3,7,0,-1453.88,1.772,1.67245,1.75543,2.30628,-0.166275,0.234565,0.154702,0.310783,0.192658,-0.0431129,-0.881024,0.79869,0.307827,0.190567,-0.730033,0.134601,-0.0841705,-0.10197,0.408018,-0.282467,-0.282029,-0.294423,1.78119,1.13403,-0.351637,0.609818,0.118917,-0.0859024,-1.37549,0.356373,0.367874,-0.253207,0.0904899,0.440668,-0.39951,0.569979
1477.64,0.808784,0.389941,3,7,0,-1453.92,1.70002,1.56795,1.7286,2.38058,-0.0593532,0.0462395,0.13238,-0.135646,0.290468,0.211561,-0.45975,0.637414,0.295693,0.455212,-0.883585,0.0447019,-0.57099,0.255345,0.575546,0.0776637,-0.410435,-0.25943,1.70381,1.08164,-0.585148,0.402928,0.443571,0.3699,-1.28388,0.611358,0.462885,-0.466426,-0.257061,0.112126,-0.497701,0.502676
1479.33,0.879639,0.389941,3,7,0,-1462.59,1.6501,1.59609,1.72516,2.31638,-0.0981443,0.0290508,0.154104,-0.248562,0.280391,0.344942,-0.468889,0.661824,0.392065,0.433173,-1.06532,0.0555173,-0.53862,0.208817,0.586583,0.0232948,-0.46362,-0.352988,1.63388,1.02041,-0.483912,0.331354,0.341941,0.231435,-1.22475,0.721137,0.407362,-0.480532,-0.228491,0.00608108,-0.398901,0.497297
1473.69,0.861823,0.389941,3,7,0,-1460.28,1.74137,1.76052,1.65052,2.42056,-0.277142,0.29279,0.248493,-0.234142,0.228125,0.0889101,-0.728723,0.64552,0.44789,0.530988,-0.882734,0.321077,-0.741345,-0.0839121,0.528735,0.0879195,0.0495801,-0.27935,1.76906,1.05529,-0.349245,0.369394,0.290943,0.0424355,-1.47409,0.506498,0.0927338,-0.345246,-0.269423,0.0736227,-0.0916669,0.532919
1483.57,0.911382,0.389941,3,7,0,-1455.24,1.73639,1.7137,1.65831,2.40872,-0.391051,-0.0726203,-0.0673723,-0.0238832,0.425326,0.095995,-0.545846,0.641605,0.257846,0.137592,-0.73176,0.134809,-0.461729,-0.133306,0.383423,0.132293,-0.492758,-0.275102,1.79813,1.01254,-0.287983,0.16732,0.0749977,0.239175,-1.495,0.449868,0.389153,-0.467722,-0.150173,-0.0666248,-0.131906,0.552164
1480.44,0.897718,0.389941,3,7,0,-1469.85,1.74609,1.7349,1.90362,2.40646,-0.0468633,0.229981,0.0883534,0.0203539,0.0294429,0.291114,-0.501104,0.646667,0.26339,0.484694,-0.528086,-0.00936794,-0.031391,-0.724338,0.336792,-0.482446,-0.424681,-0.0922227,1.50004,1.07911,-0.280209,0.174041,0.352102,-0.230552,-1.00628,0.530903,0.444695,-0.860291,-0.0186952,-0.199209,-0.22808,0.60035
1475.75,0.721596,0.389941,3,7,0,-1459.46,1.79216,1.70738,1.65071,2.40798,0.0212664,0.0422158,-0.306592,-0.0273857,0.221551,-0.157121,-0.631499,0.421008,0.336321,0.224895,-0.240745,-0.136397,-0.677998,-0.553493,0.713932,-0.267745,-0.132687,-0.180863,1.74117,1.08029,-0.234043,0.343773,-0.0200662,-0.131464,-1.20897,0.446266,0.28888,-0.725543,-0.306311,-0.0115914,-0.247722,0.517402
