lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,alpha.21,alpha.22,alpha.23,alpha.24,alpha.25,alpha.26,alpha.27,alpha.28,alpha.29,alpha.30,alpha.31,kappa
# Adaptation terminated
# Step size = 0.357599
# Diagonal elements of inverse mass matrix:
# 0.0136245, 0.014808, 0.0147728, 0.0116819, 0.0439165, 0.0331645, 0.0359427, 0.0451139, 0.037174, 0.0294374, 0.0480676, 0.022318, 0.0394071, 0.0338102, 0.0541446, 0.0412723, 0.0475016, 0.0543884, 0.0322442, 0.0416619, 0.0513529, 0.0408071, 0.0171041, 0.0212399, 0.0505092, 0.0373677, 0.0375779, 0.0381106, 0.0853528, 0.0262815, 0.0316089, 0.0556026, 0.0433811, 0.0401023, 0.0403887, 0.0200535
1470.07,0.980768,0.357599,3,15,0,-1452.76,1.88865,1.70041,1.7909,2.4901,-0.360526,-0.0302312,-0.0610618,-0.265026,0.297415,0.218499,-1.03008,0.346715,0.276537,0.047525,-0.579646,-0.0584613,-0.573443,-0.479703,0.529952,0.0086729,-1.35689,-0.239261,1.59194,1.05291,-0.0371109,0.177154,-0.197737,-0.103855,-0.875607,0.167591,0.531018,-0.538878,0.117545,-0.0571838,-0.481488,0.532613
1476.54,0.925611,0.357599,3,7,0,-1449.56,1.8538,1.63173,1.90392,2.47012,-0.691062,0.256159,0.0549784,0.0364274,0.0187093,0.0773231,-0.507388,0.598065,0.18627,-0.0398242,-0.577457,0.220634,-0.289937,-0.205785,0.395442,-0.390863,-0.947435,-8.43286e-07,1.66512,0.982059,-0.0437679,0.0465777,-0.332228,-0.259468,-0.759091,0.535657,0.338999,-0.433806,-0.380552,0.0410087,-0.24671,0.527622
1478.39,0.90783,0.357599,3,15,0,-1460.59,1.80446,1.82201,1.91115,2.44573,-0.365128,0.306791,0.0341192,0.0727433,0.0815635,0.219799,-0.715534,0.422644,0.270429,0.265059,-0.853445,0.217216,-0.517392,-0.380658,0.433814,-0.39496,-0.758673,-0.416301,1.51444,1.11894,0.131866,-0.0391721,-0.237908,-0.235128,-1.21285,0.536163,0.444469,-0.515891,-0.536971,0.0134351,-0.0987431,0.552253
1473.37,0.835769,0.357599,4,15,0,-1457.02,1.79159,1.73655,1.75493,2.59102,-0.515115,-0.270209,-0.202443,-0.277586,0.0328602,0.0575622,-0.403768,0.814998,0.0534287,0.0617493,-0.365171,-0.188493,-0.410217,-0.207635,0.405493,-0.110906,-0.650002,-0.744298,1.62357,0.78257,-0.576782,0.433649,0.310621,-0.224696,-0.864337,0.55245,0.100692,-0.845937,0.037162,-0.324011,-0.343794,0.574004
1475.36,0.89178,0.357599,3,15,0,-1450.49,1.78837,1.84876,1.76762,2.53719,-0.471164,-0.0408687,-0.0214191,0.0560449,0.155805,-0.168799,-0.477923,0.502608,-0.0550072,0.137752,-0.281171,-0.251222,-0.37359,-0.171072,0.596146,0.0274975,-0.549207,-0.521114,1.69419,0.974367,-0.681419,0.51768,0.33738,-0.306049,-0.939026,0.253849,0.2091,-0.783548,-0.111712,-0.38774,-0.244623,0.594559
1474.54,1,0.357599,3,7,0,-1462,1.91628,1.81041,1.99278,2.57916,-0.108681,0.0781888,0.0774446,-0.322762,0.0270198,0.311101,-0.674863,0.535681,0.183236,0.18388,-1.09901,-0.0499891,-0.286323,-0.423362,0.0909783,-0.414394,-0.835026,-0.358594,1.45928,0.906588,0.0314914,-0.176188,-0.285228,-0.369417,-1.23802,0.639489,0.359425,-0.893272,-0.20945,0.193561,-0.126794,0.548429
1482.34,1,0.357599,3,7,0,-1461.01,1.80163,1.82807,1.77524,2.48204,-0.474159,-0.0553963,0.0459226,-0.186135,0.23157,0.0877864,-0.597472,0.65837,-0.181139,0.270638,-0.685073,-0.0103888,-0.591755,-0.280579,0.446041,-0.345515,-0.276155,-0.1651,1.57593,0.898147,-0.464336,0.491794,0.260964,-0.188249,-0.926222,0.370088,0.203817,-0.245962,-0.44043,-0.230133,-0.186997,0.622328
1482.78,0.931933,0.357599,4,15,0,-1467.94,1.84623,1.80611,1.79632,2.40805,-0.224858,0.188686,0.0421836,0.00984073,0.0818521,0.204056,-0.547988,0.489265,0.427807,0.216332,-0.859713,0.025044,-0.0455817,-0.307797,0.387203,-0.347296,-0.728567,-0.470829,1.59447,1.05271,-0.124446,-0.0731067,-0.147637,0.0619313,-1.03828,0.609447,0.416776,-1.04721,0.000359809,-0.00627729,-0.228271,0.502107
1473.5,0.510776,0.357599,3,7,0,-1453.08,1.64291,1.8216,1.81642,2.53982,-0.36106,0.203997,0.124189,-0.249327,0.128556,0.253016,-0.133609,0.289897,0.159542,0.24717,-0.766699,0.00583178,-0.0179354,-0.0694626,0.465989,-0.461513,-0.524206,-0.322454,1.6634,1.03257,-0.416128,-0.175279,0.0793671,0.206936,-0.785554,0.657344,0.158162,-0.900243,0.0755587,-0.241156,-0.324073,0.619527
1479.82,1,0.357599,3,7,0,-1459.63,1.96629,1.7136,1.84443,2.43403,-0.304216,0.132775,-0.116331,-0.180134,0.391968,0.132759,-0.763561,0.648717,0.251988,0.0436458,-0.411886,0.0337262,-0.454743,-0.503642,0.270043,-0.4174,-0.609265,-0.176871,1.56399,0.964651,-0.274919,0.522787,-0.174517,-0.117108,-0.883356,0.486804,-0.0194121,-0.774225,-0.235969,-0.105213,-0.0797767,0.567877
