lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,alpha.21,alpha.22,alpha.23,alpha.24,alpha.25,alpha.26,alpha.27,alpha.28,alpha.29,alpha.30,alpha.31,kappa
# Adaptation terminated
# Step size = 0.355207
# Diagonal elements of inverse mass matrix:
# 0.0142942, 0.0144363, 0.0146389, 0.011347, 0.0485841, 0.0333088, 0.0380966, 0.0401972, 0.0290518, 0.0329391, 0.0590378, 0.027296, 0.0332223, 0.0424525, 0.0694587, 0.0381089, 0.0507955, 0.0525861, 0.0266367, 0.0437851, 0.0552313, 0.0516349, 0.0160384, 0.0199687, 0.0472394, 0.0305978, 0.0342427, 0.0417027, 0.0746887, 0.0294799, 0.0318594, 0.0666352, 0.0443136, 0.0401794, 0.0384171, 0.022383
1480.5,0.564973,0.355207,3,7,0,-1452.33,1.84212,1.80013,1.86163,2.53182,-0.292023,-0.0365889,-0.0095984,-0.319383,-0.0180286,-0.188959,-0.585702,0.663477,0.145954,0.203931,-0.77097,0.0206085,-0.458469,-0.439779,0.0729618,-0.217297,-0.0751238,0.0367562,1.64425,0.954674,-0.382227,0.415758,0.0872014,0.227653,-0.963086,0.50657,0.332615,-0.724519,-0.363827,-0.150796,-0.314976,0.531757
1477.32,0.878207,0.355207,4,15,0,-1460.65,1.80265,1.70709,1.88756,2.54013,-0.290396,0.163554,0.0827119,0.0552405,0.352009,0.407388,-0.415162,0.503956,0.11787,0.242001,-0.586387,-0.011605,-0.252083,-0.173755,0.752977,-0.171815,-1.06304,-0.703899,1.57355,0.955125,-0.231567,-0.0105026,0.0589301,-0.500487,-0.995579,0.521115,0.237619,-0.79729,-0.104439,-0.0980839,-0.0627681,0.628049
1477.4,0.951011,0.355207,4,15,0,-1462.22,1.89568,1.6149,1.87635,2.54089,-0.255218,-0.0527576,-0.038887,-0.296315,-0.0266593,-0.206335,-0.547615,0.609258,0.145203,0.273077,-0.802254,-0.0163034,-0.452201,-0.448291,0.0363006,-0.233536,-0.175961,0.0293722,1.6357,1.03588,-0.315362,0.391113,0.0938614,0.24591,-0.959521,0.421777,0.278119,-0.687777,-0.390872,-0.179087,-0.32299,0.482315
1477.12,0.991343,0.355207,4,15,0,-1462,1.73005,1.89334,1.77938,2.41276,0.0169142,0.113104,0.271166,-0.0113827,0.435103,0.267195,-0.41947,0.253425,0.347449,0.435187,-0.80375,-0.0409557,-0.70213,-0.252627,0.443094,-0.257308,-0.341804,-0.386185,1.55054,0.950787,-0.121202,0.231243,0.0720559,-0.148,-1.0832,0.540074,0.0168174,-0.427021,-0.0357222,-0.30923,-0.420153,0.513191
1475.87,0.783099,0.355207,4,15,0,-1458,1.87806,1.68066,1.79102,2.33648,-0.49828,-0.105047,-0.202415,-0.113009,-0.0236078,0.0670082,-0.449333,0.925096,-0.0273303,0.105082,-0.538127,0.125411,-0.121815,-0.36849,0.477752,-0.179588,-0.601241,-0.224409,1.70765,0.986495,-0.419421,0.280568,0.153993,0.0441573,-0.901879,0.504304,0.668215,-1.0309,-0.422375,0.0751486,-0.0266121,0.670299
1479.84,0.987332,0.355207,4,15,0,-1460.26,1.74443,1.60502,1.76838,2.41908,-0.29619,-0.173138,-0.220068,0.197831,0.367543,0.16252,-0.0562239,0.808731,0.299877,0.31269,-0.444758,-0.142859,-0.299414,-0.18905,0.589403,-0.0740352,-0.221245,-0.116643,1.72948,1.08099,-0.0521287,0.330765,0.242671,0.160443,-0.868157,0.525267,0.0642207,-0.318073,-0.280661,0.0120445,-0.412214,0.474217
1481.46,0.969106,0.355207,4,15,0,-1464.35,1.75872,1.62748,1.7804,2.41335,-0.0144428,0.331356,0.365724,-0.1644,0.0485347,0.262623,-0.766071,0.638061,0.242472,0.306663,-0.601004,0.340886,-0.261327,-0.487953,0.42512,-0.226839,-0.658547,-0.319066,1.69073,1.06778,-0.224494,0.243349,0.128951,-0.139848,-0.840252,0.56423,0.523314,-1.13,-0.139088,-0.0254504,0.198443,0.679649
1483.21,0.795489,0.355207,3,7,0,-1461.55,1.71955,1.72674,1.64648,2.38812,-0.182783,0.00959796,-0.179894,0.2529,0.170657,0.181045,-0.713065,0.744791,0.0851112,0.463247,-0.776005,-0.0909719,-0.314867,-0.0696069,0.537558,0.117222,-0.259206,-0.235215,1.76966,1.18223,-0.250652,0.27453,0.345844,0.0614388,-0.529321,0.60864,0.491415,-0.624574,-0.0544321,-0.0499533,-0.28166,0.543438
1474.28,0.759671,0.355207,3,7,0,-1460.79,1.68003,1.60734,1.81488,2.39909,-0.570111,0.332489,0.345073,-0.147791,0.170525,0.0494571,-0.614821,0.65049,0.21518,0.352897,-0.256484,0.0139783,-0.135838,-0.246782,0.543371,-0.435572,-0.853071,-0.238222,1.64809,0.955081,0.208616,0.227293,0.329627,-0.390888,-1.68376,0.550657,0.432381,-0.486654,-0.323014,-0.169641,0.13901,0.584212
1477.96,1,0.355207,4,15,0,-1465.25,1.71982,1.60646,1.68519,2.36441,-0.387947,0.137893,0.260369,-0.257316,0.198754,0.109158,-0.602767,0.737685,0.279031,0.408752,-0.266251,-0.0344609,-0.0801755,-0.325291,0.603913,-0.373979,-0.924557,-0.277071,1.75132,1.03819,0.0424229,0.21495,0.430986,-0.149403,-1.66785,0.60334,0.421908,-0.294955,-0.35016,-0.212299,0.0448984,0.667478
1481.24,0.96348,0.355207,4,31,0,-1462.18,1.78746,1.82121,1.86133,2.42586,-0.227989,0.0889176,-0.0579106,0.0944546,0.412862,0.318432,-0.203825,0.478947,0.0966461,0.124559,-0.93388,-0.137096,-0.320235,-0.437943,0.0847283,-0.281668,-0.273906,-0.26655,1.57558,0.983856,-0.257617,0.379272,0.160932,-0.190672,-1.6921,0.429817,0.371709,-0.566596,-0.317002,-0.236724,-0.280665,0.560563
1479.56,0.723577,0.355207,4,15,0,-1457.69,1.76159,1.74481,1.80606,2.36333,-0.35054,0.0432723,0.0673297,-0.540372,-0.0852854,-0.0818476,-0.798131,0.60266,0.183693,0.242915,-0.480265,0.124297,-0.379311,-0.183341,0.674578,-0.116005,-0.816485,-0.351301,1.62279,1.04511,-0.381731,0.0744684,0.0373243,-0.0643349,-0.545542,0.61659,0.236017,-0.86043,-0.149007,-0.00433601,-0.213519,0.639356
1475.36,0.811318,0.355207,4,15,0,-1457.39,1.71247,1.89733,1.67786,2.42122,-0.378564,-0.069071,-0.102741,-0.508182,0.0835687,0.0391005,-0.896997,0.482245,0.263345,0.203891,-0.748296,-0.0733553,-0.35013,0.0265455,0.677297,-0.0104554,-0.909191,-0.35555,1.65042,0.943719,-0.314109,0.126568,0.0659438,-0.186443,-0.73328,0.61827,0.450173,-0.372234,-0.332847,-0.0743542,-0.000893647,0.596637
1481.37,0.934363,0.355207,3,7,0,-1456.5,1.84167,1.6831,1.84546,2.55271,-0.104476,-0.024983,-0.17506,-0.169734,0.0694975,0.0965282,-0.857629,0.60612,0.167282,0.149506,-0.773344,-0.0193739,-0.376544,-0.0240139,0.613193,-0.323314,-0.575743,-0.5112,1.65475,0.948825,-0.187742,0.0580121,0.194848,-0.147561,-0.946257,0.443912,0.529805,-0.755365,-0.389139,-0.107633,-0.0152111,0.73214
1477.63,0.899585,0.355207,4,15,0,-1463.07,1.78821,1.86927,1.8167,2.47343,-0.404696,0.208016,-0.0375865,-0.107866,0.482443,0.0625785,-0.211533,0.641757,0.290772,0.100686,-0.636728,-0.251215,-0.467997,-0.578309,0.351774,-0.258015,-0.516657,-0.0966353,1.57856,0.98071,-0.497823,0.118325,0.0144372,-0.250482,-1.12147,0.517514,0.196639,-1.02168,0.0893263,-0.687349,0.0379515,0.512628
1471.25,0.70372,0.355207,4,15,0,-1449.94,1.89722,1.97746,1.91774,2.52655,0.0202338,-0.10409,0.00576998,-0.214913,-0.202297,0.0199115,-1.01811,0.456355,-0.154206,-0.0962349,-1.00454,-0.0122271,-0.41619,-0.326012,0.601917,-0.477823,-0.943728,-0.367871,1.4414,0.971601,-0.091966,0.309091,-0.0957891,-0.173105,-0.688837,0.204265,0.278306,-1.19728,-0.73344,-0.0685085,-0.53592,0.660573
1480.89,0.984941,0.355207,4,15,0,-1457.65,1.87309,1.93482,1.89542,2.56556,-0.531969,0.18282,-0.164495,-0.0642186,-0.00404312,0.0631888,-0.272999,0.436653,0.0354187,-0.119526,-0.425984,0.114669,-0.132596,-0.202206,0.218959,-0.0802404,-0.706858,-0.36159,1.48064,0.958747,-0.338396,0.238081,-0.0398927,-0.0756248,-1.32284,0.139605,0.413534,-0.690196,-0.107001,-0.243899,-0.303646,0.516288
1481.99,0.896844,0.355207,4,31,0,-1463.14,1.841,1.66524,1.77227,2.40284,0.113871,0.0654727,-0.0311987,0.0279023,0.368556,0.287658,-0.461716,0.697862,0.0855068,0.594243,-0.865652,-0.124667,-0.590376,-0.245409,0.529639,-0.285597,-0.460041,-0.615746,1.76859,1.06327,-0.173955,0.307529,0.139871,-0.0143351,-0.594743,0.654995,0.253588,-0.824907,-0.295072,-0.0668501,-0.141217,0.528762
1473.71,0.585435,0.355207,4,31,0,-1450.57,2.05384,1.88567,2.04435,2.56429,-0.797582,0.0251297,-0.140829,-0.312252,-0.0683413,-0.382358,-1.03794,0.35345,0.0220501,-0.0389242,-0.559644,0.149566,-0.510866,-0.12939,0.191207,-0.153966,-0.912431,-0.0505835,1.54507,0.776217,-0.240314,0.0585603,0.152633,-0.404308,-1.22327,0.506932,0.199429,-0.893034,-0.288296,-0.337027,-0.1328,0.549584
1476.62,0.994046,0.355207,4,15,0,-1455.36,1.86372,1.71524,1.8216,2.36117,-0.0969657,-0.0532046,0.040559,-0.0441888,0.302661,0.455371,-0.203661,0.525948,0.245334,0.351896,-0.772143,-0.303101,-0.230324,-0.515886,0.625175,-0.260243,-0.202548,-0.711184,1.78674,1.02723,-0.36371,0.333813,-0.136174,0.211375,-0.839387,0.56712,0.166278,-0.62515,-0.38351,-0.0190072,-0.352304,0.5276
1476.89,0.761552,0.355207,4,31,0,-1450.77,2.12216,1.90623,1.96619,2.65192,-0.463295,-0.242779,0.0711051,-0.340614,-0.119847,-0.16717,-0.521419,0.44505,0.0615915,0.000285326,-0.983217,-0.101448,-0.363545,-0.729021,0.102716,-0.365122,-0.627664,-0.616123,1.51312,0.873444,-0.42598,-0.459956,-0.126833,-0.108662,-1.39016,0.0922794,-0.0144927,-1.19767,-0.302319,-0.48138,-0.489908,0.613139
1478.34,0.871332,0.355207,4,15,0,-1456.12,1.88475,2.05238,2.02462,2.61042,-0.398849,-0.113055,-0.405745,-0.165466,0.0369029,0.00318044,-0.746391,0.298196,-0.129174,0.0909917,-0.695225,-0.253716,-0.636787,-0.697244,0.336705,-0.339546,-0.681037,-0.320431,1.32217,0.67355,-0.436016,0.469672,-0.171164,-0.41459,-0.772436,0.501439,0.238692,-0.598563,-0.470086,-0.0984989,-0.409787,0.535554
1478.66,0.866242,0.355207,4,15,0,-1461.52,1.88574,1.92856,1.82161,2.42454,-0.546803,0.0168533,-0.0910629,-0.00375799,0.149708,0.365798,-1.12669,0.618152,0.121103,0.203109,-0.645495,0.154257,-0.451774,-0.537918,0.355789,-0.108245,-0.388977,-0.0268796,1.5147,0.969133,-0.171227,0.117089,0.0722034,-0.206147,-0.867832,0.639279,0.420123,-0.890752,-0.340764,-0.161965,-0.23533,0.680184
1477.8,0.936538,0.355207,3,15,0,-1460.51,1.78742,1.67677,1.80549,2.53425,0.0374468,0.128594,0.141688,0.100768,-0.061499,0.346385,-0.469591,0.327549,0.0586942,0.194206,-0.65902,0.280409,-0.223328,-0.447662,0.309514,-0.137379,-0.515276,-0.438883,1.62878,0.681842,-0.778361,0.181894,-0.0617242,-0.0868788,-0.754061,0.528799,0.343566,-0.760681,-0.39001,-0.12475,-0.262257,0.487706
1473.54,0.829003,0.355207,4,15,0,-1457.98,1.8647,1.95681,2.0725,2.47024,-0.37976,-0.329888,0.0714942,-0.271955,-0.287833,-0.0957933,-0.466487,0.38125,-0.105067,0.262485,-0.748039,-0.129132,-0.276191,-0.428409,0.385615,-0.314565,-0.630505,-0.494282,1.61084,0.760899,-0.700112,-0.0677711,-0.323775,-0.298664,-1.08799,0.446945,0.372391,-1.15699,-0.212475,-0.517613,-0.301484,0.689988
1480.18,0.99423,0.355207,4,15,0,-1459.35,2.05356,1.87337,1.9788,2.65222,-0.347328,0.061963,-0.514151,-0.267544,-0.112892,0.141225,-0.874306,0.464612,-0.103158,-0.0840341,-0.829724,-0.158275,-0.480174,-0.334871,0.181438,-0.416631,-0.727602,-0.53477,1.27559,0.838603,-0.253046,0.0182532,0.144272,-0.141872,-1.24416,0.267313,-0.0788009,-0.52287,-0.476744,-0.119373,-0.452198,0.464025
