lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,alpha.21,alpha.22,alpha.23,alpha.24,alpha.25,alpha.26,alpha.27,alpha.28,alpha.29,alpha.30,alpha.31,kappa
# Adaptation terminated
# Step size = 0.353006
# Diagonal elements of inverse mass matrix:
# 0.0161009, 0.0169884, 0.0166236, 0.013645, 0.0475857, 0.0327808, 0.0372598, 0.0485971, 0.0348495, 0.037434, 0.0525685, 0.0275391, 0.0410617, 0.0367249, 0.0704779, 0.0426119, 0.0500641, 0.0522695, 0.0311296, 0.0443528, 0.0653784, 0.0472225, 0.0198281, 0.0243012, 0.0475171, 0.0375727, 0.0394293, 0.0491096, 0.0758509, 0.0304844, 0.0312909, 0.0578402, 0.0558357, 0.0449262, 0.0466869, 0.0240602
1475.4,0.872936,0.353006,3,15,0,-1454.65,1.80877,1.76355,1.74918,2.48542,-0.538268,0.218833,-0.127831,-0.10188,-0.0208139,-0.0359875,-0.719338,0.655004,0.336525,0.51447,-0.861851,-0.187019,-0.1003,-0.563354,0.351107,-0.190106,-0.592629,-0.272986,1.53417,1.01621,0.144739,0.213667,0.111083,0.0962416,-1.51424,0.635484,0.205013,-0.499616,-0.431774,-0.157748,-0.820412,0.608655
1481.22,0.994531,0.353006,3,15,0,-1465.46,1.88068,1.85174,1.98748,2.50277,-0.305694,-0.0110043,0.135917,0.0807947,0.140477,0.117445,-0.415079,0.496611,-0.0977092,0.0336522,-0.907721,-0.177149,-0.525854,-0.390326,0.535355,-0.419674,-0.882263,-0.764629,1.59894,0.85588,-0.59569,0.229584,-0.00454938,-0.32599,-0.905534,0.219593,0.35411,-0.75236,-0.102227,-0.213105,0.100494,0.604727
1479.54,0.865513,0.353006,3,15,0,-1463.13,1.95822,1.83229,1.91065,2.57202,-0.346856,-0.136975,-0.0247052,0.284698,0.149962,-0.0344117,-0.731988,0.311457,-0.10899,0.0354139,-0.83605,-0.307794,-0.452636,-0.292056,0.467698,-0.250411,-0.80791,-0.69883,1.59994,1.01291,-0.638327,0.223355,-0.0154681,-0.363428,-0.63903,0.343846,0.244972,-0.695138,-0.026743,-0.0151176,-0.328083,0.530293
1480.16,0.73403,0.353006,4,15,0,-1460.3,1.87523,1.78388,1.83384,2.43627,-0.296606,0.17779,-0.167711,-0.450999,0.218906,0.224855,-0.742939,0.754278,0.119044,0.305501,-0.627436,0.1972,-0.406748,-0.450165,0.461991,-0.128183,-0.623149,-0.143838,1.61704,0.899965,-0.626963,-0.171471,0.0748467,-0.191233,-1.00251,0.453108,0.180802,-0.636597,-0.739584,-0.130811,-0.490986,0.538346
1479.68,0.907668,0.353006,4,15,0,-1463.11,1.88016,1.78445,1.90654,2.58672,-0.0589738,0.0878753,-0.190501,-0.217098,0.149106,0.0720428,-0.745751,0.53853,0.165774,0.0635567,-1.09226,0.0602317,-0.542226,-0.472888,0.635348,-0.225461,-0.68513,-0.294143,1.51917,0.94037,-0.702723,0.0713819,-0.0032445,-0.726699,-0.963397,0.259064,0.0929767,-0.735364,-0.329535,-0.101834,-0.0246262,0.488003
1476.89,0.892338,0.353006,3,15,0,-1462.2,1.79492,1.93394,1.98474,2.49034,-0.21271,0.0437149,0.290813,-0.0741643,0.00652358,0.371127,-0.711573,0.631815,0.0813456,-0.0501781,-0.735191,-0.00305269,-0.461637,-0.252726,0.354585,-0.0151872,-0.422983,-0.647812,1.42658,0.865312,-0.826863,0.09781,0.0547115,-0.514815,-1.03326,0.599655,0.119373,-0.725093,-0.128511,-0.0926574,-0.305817,0.542384
1472.47,0.757122,0.353006,3,15,0,-1452.49,1.70417,1.97294,1.99799,2.42786,-0.208665,0.148551,0.302144,-0.0131845,0.0900261,0.330031,-0.717899,0.510263,0.0558269,-0.00450064,-0.614998,0.0949103,-0.397832,-0.282275,0.288184,-0.0514271,-0.345841,-0.52647,1.46032,0.791872,-0.888581,-8.47576e-05,0.160105,-0.278242,-1.13549,0.623918,0.118929,-0.81625,-0.177621,-0.13557,-0.332655,0.549276
1482.53,1,0.353006,3,7,0,-1458.24,1.75572,1.63831,1.8078,2.45845,-0.460899,-0.0791609,-0.217651,-0.322046,0.181656,-0.150882,-0.402553,0.448241,0.204167,0.321251,-0.700842,-0.0540319,-0.224467,-0.422632,0.493246,-0.429988,-0.652746,-0.265528,1.59387,1.04635,-0.135124,0.317182,0.00376933,0.0802418,-0.587063,0.269441,0.447936,-0.599612,-0.431325,-0.214789,-0.323246,0.468806
1481.2,0.917965,0.353006,3,7,0,-1468.03,1.63573,1.80576,1.77475,2.44407,-0.0951829,0.127517,0.391676,0.0168652,0.206418,0.443661,-0.344425,0.662653,0.0683329,0.165628,-0.699848,0.115022,-0.527724,-0.301512,0.345095,0.00557299,-0.300496,-0.305317,1.56213,0.850567,-0.367775,-0.0066804,0.178531,-0.308026,-1.22433,0.710276,0.19952,-0.743147,-0.168425,-0.0926743,-0.0460896,0.530944
1479.29,0.965176,0.353006,3,15,0,-1468.11,1.8485,1.55704,1.74915,2.35295,0.0067133,0.0794514,0.00157158,-0.235988,0.215627,-0.0492624,-0.361243,0.581774,-0.0514974,0.393979,-0.559105,0.0846074,-0.532379,-0.0371326,0.733716,-0.277361,-0.384519,-0.158968,1.74991,1.32015,-0.290135,0.298076,0.224301,0.116768,-0.672892,0.513653,0.309371,-0.904694,0.0644952,0.0234306,-0.110642,0.511849
