# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = model_4ba3117b2609_model
# start_datetime = 2025-01-25 20:50:05 UTC
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/Rtmpi9m7ws/standata-910146e27e83.json
# init = 2 (Default)
# random
#   seed = 1773305174
# output
#   file = /home/lbelzile/Documents/Personnel/MEGAsync/Website/MATH80601A/models/Poisson_simple-1.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /home/lbelzile/Documents/Personnel/MEGAsync/Website/MATH80601A/models/poisson_simple-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4
# Adaptation terminated
# Step size = 0.835871
# Diagonal elements of inverse mass matrix:
# 0.00473754, 0.00482306, 0.0045384, 0.0023782
1274.59,0.991506,0.835871,2,3,0,-1274.36,1.93348,1.78589,2.01266,2.59039
1275.8,0.971915,0.835871,3,7,0,-1274.39,1.94551,1.95816,1.92718,2.61058
1274.04,0.836645,0.835871,2,7,0,-1273.65,1.87319,1.89227,2.03593,2.67718
1274.85,0.975789,0.835871,2,7,0,-1273.36,2.02459,1.94517,1.91366,2.57326
1274.93,0.999799,0.835871,2,7,0,-1274.75,1.8598,1.8603,2.02074,2.62511
1274.49,0.794304,0.835871,3,7,0,-1272.06,2.01498,1.93028,1.96399,2.5302
1274.24,0.984892,0.835871,3,7,0,-1273.3,1.88726,1.86798,1.95992,2.68984
1274.87,0.817153,0.835871,2,3,0,-1271.22,1.87494,1.95244,1.88567,2.59285
1273.85,0.861019,0.835871,2,3,0,-1272.5,1.78932,1.88556,1.95203,2.60952
1274.21,0.958823,0.835871,2,7,0,-1272.47,2.01403,2.01707,1.9551,2.62229
1273.99,0.819941,0.835871,2,7,0,-1270.69,1.88975,1.84246,1.96766,2.51446
1273.91,0.894797,0.835871,2,7,0,-1270.9,1.87671,1.98765,1.96708,2.67757
1276.07,1,0.835871,2,3,0,-1273.96,1.96512,1.93784,1.9757,2.60977
1274.07,0.807547,0.835871,2,3,0,-1273.85,1.87174,1.91105,1.91264,2.6847
1274.49,0.970396,0.835871,3,7,0,-1272.34,1.88958,1.78267,1.95596,2.61659
1275.04,0.789533,0.835871,2,7,0,-1271.59,2.03144,1.87581,1.99309,2.63116
1273.81,0.890142,0.835871,2,3,0,-1273.47,1.82736,1.96007,1.90933,2.557
1275.2,0.981249,0.835871,2,3,0,-1273.15,2.00976,1.87896,2.02818,2.61605
1275.58,0.993487,0.835871,3,7,0,-1274.59,1.96617,1.86433,1.90689,2.58038
1275.5,0.878069,0.835871,2,7,0,-1274.02,1.9393,1.88132,1.93786,2.65892
1275.54,0.889717,0.835871,2,3,0,-1273.99,1.97499,1.96356,2.0006,2.62378
1275.44,0.781936,0.835871,2,7,0,-1273.23,1.85345,1.9026,1.95067,2.60979
1274.65,0.848579,0.835871,2,3,0,-1273.31,2.04417,1.92464,1.99109,2.64201
1275.09,0.998974,0.835871,3,7,0,-1273.95,1.92037,1.92912,1.8958,2.55145
1275.58,0.80214,0.835871,2,3,0,-1272.63,2.00943,1.92221,1.97485,2.62898
1275.22,0.882521,0.835871,3,7,0,-1274.08,1.94198,1.87072,1.95069,2.66946
1271.98,0.712144,0.835871,2,3,0,-1271.34,2.03206,1.89782,1.9363,2.72656
1274.51,1,0.835871,2,3,0,-1271.25,2.01724,1.92002,2.02454,2.6607
1275.07,0.811073,0.835871,2,3,0,-1271.91,1.94615,1.79591,1.96943,2.61824
1274.72,0.925043,0.835871,3,7,0,-1273.52,1.95822,2.01578,1.92707,2.59705
1273.92,0.934618,0.835871,2,3,0,-1273.29,1.95881,1.75179,1.98577,2.60274
1275.05,0.97915,0.835871,2,3,0,-1273.4,1.93599,1.99863,1.95757,2.63786
1275.21,0.954205,0.835871,2,3,0,-1273.97,1.87514,1.92686,1.90737,2.63483
1274.58,0.937512,0.835871,3,7,0,-1273.72,2.03371,1.98181,1.95371,2.62288
1275.62,0.997601,0.835871,2,7,0,-1274.12,1.95396,1.89519,2.03449,2.62268
1276.07,0.915666,0.835871,2,7,0,-1274.72,1.95259,1.89934,1.95603,2.57411
1276.07,0.702963,0.835871,2,3,0,-1273.29,1.95259,1.89934,1.95603,2.57411
1275.15,0.884854,0.835871,2,3,0,-1274.94,1.85407,1.86018,1.94486,2.58185
1275.76,0.94783,0.835871,2,3,0,-1274.1,1.99587,1.93192,1.94763,2.58461
1275.93,0.970497,0.835871,2,3,0,-1275.16,1.88802,1.89548,1.96878,2.58965
1276.09,0.934891,0.835871,2,7,0,-1275.27,1.97284,1.90513,1.9731,2.5859
1275.45,0.849907,0.835871,2,7,0,-1274.56,1.9287,1.98276,1.92947,2.61002
1274.73,0.82597,0.835871,2,3,0,-1273.1,2.02382,1.90902,1.88249,2.58598
1274.03,0.900867,0.835871,2,7,0,-1273,1.80209,1.85626,1.95444,2.611
1274.24,0.936672,0.835871,2,7,0,-1271.82,1.86519,1.89418,1.88691,2.5423
1273.2,0.949215,0.835871,2,3,0,-1272.51,1.91754,1.84716,1.86225,2.51559
1271.91,0.921904,0.835871,2,3,0,-1270.69,2.00552,1.9604,2.03495,2.72113
1274.52,1,0.835871,2,3,0,-1270.6,1.99636,1.83401,1.88061,2.63306
1274.71,0.818755,0.835871,2,3,0,-1271.56,1.94111,1.9745,1.87295,2.57765
1274.66,0.998475,0.835871,3,7,0,-1273.48,1.95915,1.91585,1.90258,2.52866
1274.01,0.854445,0.835871,3,7,0,-1272.17,1.87506,1.89783,2.04808,2.67213
1274.4,0.943157,0.835871,2,3,0,-1272.23,1.857,1.9848,2.018,2.58258
1275.33,0.991678,0.835871,3,7,0,-1274.22,1.97816,1.8339,1.91339,2.61417
1275.28,0.775188,0.835871,2,3,0,-1272.26,1.92626,1.8513,2.04209,2.6002
1273.99,0.832564,0.835871,2,3,0,-1272.83,1.91192,1.98134,1.85533,2.64039
1272.14,0.82394,0.835871,2,3,0,-1270.78,1.99628,1.83091,2.06567,2.5023
1273.04,0.962673,0.835871,3,7,0,-1269.15,1.93276,1.86424,1.84503,2.68915
1272.94,0.960889,0.835871,2,7,0,-1270.62,2.0386,1.83324,2.0863,2.58761
1274.51,1,0.835871,2,3,0,-1272.34,1.84043,1.93753,1.89074,2.60914
1273.7,0.886299,0.835871,2,3,0,-1272.68,2.04942,1.87191,2.03981,2.65278
1273.13,0.85924,0.835871,2,3,0,-1270.5,1.88914,1.83349,1.99593,2.70571
1272.61,0.884807,0.835871,2,3,0,-1270.66,1.98023,2.06175,1.94874,2.54455
1274.26,1,0.835871,2,7,0,-1271.4,1.87291,1.83908,1.97787,2.53118
1274.93,0.984551,0.835871,2,3,0,-1273.13,1.93066,1.95066,1.94997,2.67468
1273.44,0.763562,0.835871,2,3,0,-1271.84,1.95151,2.05725,2,2.62498
1271.82,0.914479,0.835871,2,3,0,-1270.76,1.87286,2.06057,2.01697,2.67004
1273.66,1,0.835871,3,7,0,-1269.81,2.05948,1.94875,1.87726,2.61295
1273.56,0.897418,0.835871,2,3,0,-1271.95,1.81043,1.88885,2.02317,2.55307
1270.73,0.748288,0.835871,2,7,0,-1268.96,1.96668,1.8571,1.8088,2.71581
1273.76,0.980775,0.835871,2,7,0,-1268.69,1.92074,2.02609,1.98718,2.66421
1273.57,0.867128,0.835871,2,3,0,-1270.84,1.88346,1.89117,1.96437,2.70754
1274.95,0.979025,0.835871,2,7,0,-1273.09,2.00433,1.9496,1.987,2.54945
1275.37,0.718526,0.835871,2,3,0,-1271.13,1.8637,1.89358,2.01267,2.60538
1275.11,0.984178,0.835871,3,7,0,-1274.46,1.86582,1.95431,1.9604,2.56621
1275.32,0.877294,0.835871,3,7,0,-1273.18,1.93647,1.86245,2.00207,2.65797
1274.75,0.914265,0.835871,2,3,0,-1273.77,2.00917,1.91032,2.05789,2.59783
1273.49,0.847787,0.835871,2,3,0,-1272.26,2.01251,1.89718,1.82145,2.62302
1273.6,1,0.835871,3,7,0,-1272.12,1.86274,1.89638,2.08185,2.55826
1273.75,1,0.835871,3,7,0,-1272.39,2.01672,1.87865,1.88062,2.67499
1275.02,0.761027,0.835871,2,3,0,-1270.43,2.02573,1.93353,1.97612,2.56256
1275.45,0.93728,0.835871,2,7,0,-1273.76,1.95202,1.93026,2.04464,2.60394
1274.99,0.809945,0.835871,2,3,0,-1273.23,1.9459,1.98459,1.94797,2.5521
1274.98,0.974228,0.835871,3,7,0,-1273.67,1.89648,1.82629,1.92328,2.64166
1275.93,0.924759,0.835871,2,3,0,-1273.73,1.94224,1.94113,1.94196,2.57748
1274.82,0.864149,0.835871,2,3,0,-1274.31,1.9228,2.00106,1.90395,2.60188
1273.7,0.902138,0.835871,2,7,0,-1272.42,1.89022,1.86336,1.8534,2.54019
1275.91,0.944201,0.835871,2,3,0,-1272.77,1.97231,1.86328,1.94327,2.58876
1274.45,0.742087,0.835871,2,3,0,-1273.3,1.92334,1.85279,1.85687,2.64142
1273.85,0.919676,0.835871,3,7,0,-1272.09,1.89489,1.75458,1.97104,2.60114
1273.19,0.843676,0.835871,2,3,0,-1270.84,1.87569,1.81515,2.06428,2.661
1274.84,0.828624,0.835871,2,7,0,-1270.27,1.91048,1.8117,1.95634,2.5554
1275.62,1,0.835871,2,3,0,-1274.36,1.88962,1.86897,1.99557,2.63019
1275.23,0.945744,0.835871,2,3,0,-1274.81,1.97899,1.91897,1.96231,2.53891
1275.55,0.973096,0.835871,2,3,0,-1274.32,1.91611,1.88425,2.01078,2.64591
1273.54,0.767853,0.835871,2,3,0,-1272.89,1.98171,2.00861,2.05082,2.55417
1273,0.881164,0.835871,2,3,0,-1270.96,1.92204,1.73284,2.00928,2.62993
1272.98,0.930406,0.835871,2,7,0,-1270.52,2.05845,1.9764,1.87678,2.64567
1274.27,0.862517,0.835871,2,3,0,-1269.59,1.92769,1.96895,2.00908,2.68159
1275.25,0.998394,0.835871,3,7,0,-1273.64,1.92179,1.91276,1.91021,2.65971
1269.72,0.511531,0.835871,2,3,0,-1268.76,1.76292,1.80443,2.09131,2.65051
1270.03,0.971692,0.835871,3,7,0,-1266.27,1.77605,1.92816,2.04307,2.71504
1271.56,0.989279,0.835871,3,7,0,-1266.87,1.8182,2.0424,2.05695,2.62131
1274.99,1,0.835871,2,3,0,-1271.35,1.90543,1.84072,1.91836,2.55351
1274.99,0.437689,0.835871,2,3,0,-1267.16,1.90543,1.84072,1.91836,2.55351
1274.01,0.718691,0.835871,3,7,0,-1271.02,1.99438,1.97638,2.00071,2.67969
1275.34,0.691494,0.835871,2,3,0,-1270.22,1.95913,1.86397,2.01544,2.55744
1275.14,0.861034,0.835871,2,3,0,-1273.21,1.94842,1.99046,1.90969,2.60467
1274.95,0.963852,0.835871,3,7,0,-1273.88,1.86611,1.92027,2.03873,2.62204
1274.82,0.993627,0.835871,3,7,0,-1273.94,2.02755,1.87999,1.9064,2.57178
1275.14,0.999331,0.835871,3,7,0,-1274.32,1.88703,1.92827,2.01265,2.65225
1273.62,0.849019,0.835871,2,3,0,-1273.07,1.99655,1.89093,1.90578,2.50616
1267.51,0.574171,0.835871,2,3,0,-1265.29,1.78199,2.06978,2.06094,2.50299
1274.29,1,0.835871,2,3,0,-1267.02,1.9342,2.01004,2.0256,2.56383
1273.94,0.896049,0.835871,3,7,0,-1271.7,1.88843,1.77571,1.92033,2.635
1274.33,0.924602,0.835871,2,3,0,-1272.06,1.97328,1.85852,1.94568,2.68964
1273.98,0.923215,0.835871,3,7,0,-1272.16,2.05554,1.94749,2.01635,2.56436
1275,0.869472,0.835871,2,3,0,-1271.43,1.88514,1.96017,2.01541,2.56497
1274.89,0.93872,0.835871,3,7,0,-1273.55,1.92099,1.96764,1.89229,2.64449
1274.19,0.917585,0.835871,3,7,0,-1272.91,1.958,1.81596,2.0369,2.66045
1274.61,0.997877,0.835871,3,7,0,-1273.14,1.89947,1.99843,1.90004,2.5852
1272.83,0.776241,0.835871,2,3,0,-1270.68,2.02256,1.82499,2.06806,2.66683
1275.34,1,0.835871,2,7,0,-1272.62,1.90515,1.85653,1.96246,2.55126
1275.27,0.97179,0.835871,2,3,0,-1274.42,1.92739,1.92133,2.05173,2.58412
1274.09,0.804532,0.835871,2,7,0,-1272.51,1.9492,1.79228,2.05512,2.60478
1274.01,0.994183,0.835871,3,7,0,-1272.61,1.89331,2.01655,1.88811,2.61245
1273.95,0.999275,0.835871,3,7,0,-1273.29,2.00803,1.79929,2.04174,2.58729
1272.24,0.748047,0.835871,3,7,0,-1269.76,1.79393,1.95297,1.84843,2.57922
